TEXT1;text2;textFR;pic
AON;aon; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/aon.jpg
AOUR;aour; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/aour.jpg
CHAOKAT;chaokat; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/chaokat.jpg
DILHAD;dilhad; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/dilhad.png
DISKENN GANT AR SKALIEROU;diskenn gant ar skalierou; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/diskenn-gant-ar-skalierou.jpg
DOUR O VIRVILH;dour o virvilh; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/dour-o-virvilh.jpg
ENEMWISKAN;enemwiskan; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/enemwiskan.jpg
FULORIN;fulorin; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/fulorin.jpg
GENOU;genou; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/genou.jpg
GOLO AL LEVR;golo al levr; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/golo-al-levr.jpg
GWARIZI;gwarizi; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/gwarizi.jpg
KANAN;kanan; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/kanan.png
KAOTER;kaoter; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/kaoter.jpg
KASTELL;kastell; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/kastell.png
KIBELL;kibell; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/kibell.jpg
KIBELLAT;kibellat; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/kibellat.jpg
KLEZE;kleze; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/kleze.jpg
KOF;kof; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/kof.jpg
MINTIN;mintin; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/mintin.jpg
NEUIAL;neuial; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/neuial.jpg
NIJAL;nijal; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/nijal.jpg
NOZ;noz; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/noz.jpg
PEZH AOUR;pezh aour; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/pezh-aour.jpg
PIGNAT GANT AR SKALIEROU;pignat gant ar skalierou; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/pignat-gant-ar-skalierou.jpg
PINVIDIK;pinvidik; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/pinvidik.jpg
ROUE;roue; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/roue.jpg
ROUED;roued; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/roued.jpg
SKALIER;skalier; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/skalier.jpg
SKOEDOU AOUR;skoedou aour; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/skoedou-aour.png
SOUDARD1;soudard1; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/soudard1.jpg
TOENN;toenn; ;/media/avalon/Famille/documents/scribus/scribus_scripts/ScribusImagiers/skeudennaoueg/img/toenn.png
